Soft Skills,Porgramming Languages
Analytical,C++
Business Judgement,Java
Collaboration,Hadoop
Data Visualization,Python
Design thinking, R 
Inventory Management,SAS
Leadership,SPARK
Problem Solving,SQL
Project Management,MATLAB
Team Player,Tableau
Work indpendently,
Writing,
Presentation,
Communication,
